From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABB56036.1	Q55038	reviewed	PUR1_SYNE7	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF Synpcc7942_0004	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	493
ABB58691.1	Q55032	reviewed	ENCP2_SYNE7	Type 2A encapsulin shell protein SrpI	enc sprI Synpcc7942_B2662 pANL38	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	306
ABB56037.1	Q31SD2	unreviewed	Q31SD2_SYNE7	Permease	Synpcc7942_0005	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	531
ABB58692.1	Q59967	reviewed	SRPH_SYNE7	Serine acetyltransferase, plasmid (SAT) (EC 2.3.1.30)	srpH Synpcc7942_B2663 pANL39	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	319
ABB58693.1	Q59966	reviewed	CYSK_SYNE7	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	srpG Synpcc7942_B2664 pANL40	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	329
ABB56038.1	Q31SD1	unreviewed	Q31SD1_SYNE7	DUF948 domain-containing protein	Synpcc7942_0006	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	137
ABB56039.1	Q31SD0	unreviewed	Q31SD0_SYNE7	Gas vesicle protein	Synpcc7942_0007	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	116
ABB56040.1	Q31SC9	unreviewed	Q31SC9_SYNE7	Uncharacterized protein	Synpcc7942_0008	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	107
ABB58645.1	Q8KUU4	unreviewed	Q8KUU4_SYNE7	ANL42	Synpcc7942_B2616 anL42	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	119
ABB56041.1	Q31SC8	reviewed	ASSY_SYNE7	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG Synpcc7942_0009	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	400
ABB58646.1	Q8KUU3	unreviewed	Q8KUU3_SYNE7	ANL43	Synpcc7942_B2617 anL43	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	181
ABB58647.1	Q8KUU2	unreviewed	Q8KUU2_SYNE7	ANL44	Synpcc7942_B2618 anL44	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	144
ABB56042.1	Q31SC7	unreviewed	Q31SC7_SYNE7	DedA family protein	Synpcc7942_0010	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	208
ABB58648.1	Q8KUU1	unreviewed	Q8KUU1_SYNE7	ANL45 (Carbonic anhydrase, putative)	Synpcc7942_B2619 anL45	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	192
ABB56043.1	Q31SC6	unreviewed	Q31SC6_SYNE7	Uncharacterized protein	Synpcc7942_0011	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	158
ABB58649.1	Q55025	reviewed	SRPA_SYNE7	Catalase-related peroxidase (EC 1.11.1.-) (Protein SrpA) (Sulfur-regulated plasmid-encoded protein A)	srpA Synpcc7942_B2620 pANL46	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	339
ABB56044.1	Q31SC5	reviewed	RS6_SYNE7	Small ribosomal subunit protein bS6 (30S ribosomal protein S6)	rpsF rps6 Synpcc7942_0012	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	107
ABB56045.1	Q31SC4	unreviewed	Q31SC4_SYNE7	HTH cro/C1-type domain-containing protein	Synpcc7942_0013	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	235
ABB58650.1	Q55026	reviewed	SRPB_SYNE7	Protein SrpB	srpB Synpcc7942_B2621 pANL47	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	182
ABB56046.1	Q31SC3	unreviewed	Q31SC3_SYNE7	Uncharacterized protein	Synpcc7942_0014	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	114
ABB58651.1	Q55027	reviewed	SRPC_SYNE7	Probable chromate transport protein	srpC Synpcc7942_B2622 pANL48	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	393
ABB56047.1	Q31SC2	reviewed	Y015_SYNE7	PKHD-type hydroxylase Synpcc7942_0015 (EC 1.14.11.-)	Synpcc7942_0015	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	223
ABB58652.1	Q9R6V6	unreviewed	Q9R6V6_SYNE7	ANL49 (Cysteine synthase A) (O-acetylserine(Thiol)-lyase SrpD)	srpD Synpcc7942_B2623 anL49	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	329
ABB56048.1	Q31SC1	unreviewed	Q31SC1_SYNE7	DUF304 domain-containing protein	Synpcc7942_0016	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	194
ABB58653.1	Q9R6V5	unreviewed	Q9R6V5_SYNE7	ANL50 (Gamma-glutamyltranspeptidase) (Gamma-glutamyltranspeptidase SrpE)	srpE Synpcc7942_B2624 anL50	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	508
ABB56049.1	Q31SC0	unreviewed	Q31SC0_SYNE7	2-keto-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)	Synpcc7942_0017	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	187
ABB56050.1	Q31SB9	unreviewed	Q31SB9_SYNE7	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS Synpcc7942_0018	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	728
ABB58654.1	Q9R6V4	unreviewed	Q9R6V4_SYNE7	ANL51 (Alpha-helical coiled-coil protein SrpF)	srpF Synpcc7942_B2625 anL51	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	175
ABB58656.1	Q9R6V3	unreviewed	Q9R6V3_SYNE7	ANL52 (SrpJ)	srpJ Synpcc7942_B2627 anL52	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	353
ABB56051.1	P30008	reviewed	SIR_SYNE7	Sulfite reductase [ferredoxin] (EC 1.8.7.1)	sir Synpcc7942_0019	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	624
ABB58657.1	Q9R6V2	unreviewed	Q9R6V2_SYNE7	ANL53 (ATP-binding protein of ABC transporter SrpK) (Sulfonate ABC transporter, ATP-binding protein, putative)	srpK Synpcc7942_B2628 anL53	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	270
ABB58658.1	Q9R6V1	unreviewed	Q9R6V1_SYNE7	ANL54 (Membrane lipoprotein SrpL) (Sulfonate ABC transporter, periplasmic sulfonate-binding protein, putative)	srpL Synpcc7942_B2629 anL54	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	407
ABB56052.1	Q31SB7	unreviewed	Q31SB7_SYNE7	DUF4157 domain-containing protein	Synpcc7942_0020	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	200
ABB58659.1	Q9R6V0	unreviewed	Q9R6V0_SYNE7	ANL55 (Cytoplasmic membrane protein SrpM) (Sulfonate ABC transporter, permease protein, putative)	srpM Synpcc7942_B2630 anL55	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	266
ABB56053.1	Q31SB6	unreviewed	Q31SB6_SYNE7	Precorrin-6A reductase (EC 1.3.1.54)	Synpcc7942_0021	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	246
ABB56054.1	Q31SB5	unreviewed	Q31SB5_SYNE7	Pentapeptide repeat	Synpcc7942_0022	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	389
ABB58660.1	Q8KUT5	unreviewed	Q8KUT5_SYNE7	ANL56	Synpcc7942_B2631 anL56	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	92
ABB58681.1	Q31JV0	unreviewed	Q31JV0_SYNE7	ANL56.5	Synpcc7942_B2652 anL56.5	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	83
ABB58684.1	Q8KUT3	unreviewed	Q8KUT3_SYNE7	ANL58	Synpcc7942_B2655 anL58	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	278
ABB56055.1	Q31SB4	unreviewed	Q31SB4_SYNE7	Ca(2+)/H(+) antiporter	Synpcc7942_0023	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	354
ABB58661.1	Q31JU8	unreviewed	Q31JU8_SYNE7	HEAT repeat domain-containing protein	Synpcc7942_B2632	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	183
ABB56056.1	Q31SB3	unreviewed	Q31SB3_SYNE7	DUF4336 domain-containing protein	Synpcc7942_0024	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	396
ABB58662.1	Q8KUX4	unreviewed	Q8KUX4_SYNE7	ANL01	Synpcc7942_B2633 anL01	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	999
ABB56057.1	Q31SB2	unreviewed	Q31SB2_SYNE7	DUF1400 domain-containing protein	Synpcc7942_0025	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	568
ABB56058.1	Q31SB1	unreviewed	Q31SB1_SYNE7	NADP-dependent oxidoreductase domain-containing protein	Synpcc7942_0026	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	325
ABB58685.1	Q8KUX3	unreviewed	Q8KUX3_SYNE7	ANL02	Synpcc7942_B2656 anL02	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	304
ABB56059.1	Q31SB0	unreviewed	Q31SB0_SYNE7	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Synpcc7942_0027	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	388
ABB58686.1	Q8KUX0	unreviewed	Q8KUX0_SYNE7	ANL03	Synpcc7942_B2657 anL03	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	71
ABB56060.1	Q31SA9	unreviewed	Q31SA9_SYNE7	Alpha/beta hydrolase	Synpcc7942_0028	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	222
ABB58663.1	Q31JU4	unreviewed	Q31JU4_SYNE7	DUF1254 domain-containing protein	Synpcc7942_B2634	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	459
ABB56061.1	Q31SA8	unreviewed	Q31SA8_SYNE7	Methyltransferase domain-containing protein	Synpcc7942_0029	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	273
ABB56062.1	Q31SA7	unreviewed	Q31SA7_SYNE7	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD Synpcc7942_0030	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	210
ABB56063.1	Q31SA6	reviewed	BIOA_SYNE7	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA Synpcc7942_0031	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	424
ABB58664.1	Q8KUW7	unreviewed	Q8KUW7_SYNE7	ANL06	Synpcc7942_B2635 anL06	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	319
ABB56064.1	Q31SA5	unreviewed	Q31SA5_SYNE7	DUF86 domain-containing protein	Synpcc7942_0032	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	117
ABB56065.1	Q31SA4	unreviewed	Q31SA4_SYNE7	Polymerase nucleotidyl transferase domain-containing protein	Synpcc7942_0033	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	110
ABB58665.1	Q8KUW5	unreviewed	Q8KUW5_SYNE7	ANL08	Synpcc7942_B2636 anL08	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	95
ABB56066.1	Q31SA3	unreviewed	Q31SA3_SYNE7	N-acetylornithine aminotransferase	Synpcc7942_0034	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	37
ABB58687.1	Q31JU1	unreviewed	Q31JU1_SYNE7	Tyr recombinase domain-containing protein	Synpcc7942_B2658	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	76
ABB56067.1	Q31SA2	unreviewed	Q31SA2_SYNE7	Lipoprotein	Synpcc7942_0035	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	252
ABB58667.1	Q8KUW2	unreviewed	Q8KUW2_SYNE7	ANL11	Synpcc7942_B2638 anL11	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	97
ABB58668.1	Q8KUW1	unreviewed	Q8KUW1_SYNE7	ANL12	Synpcc7942_B2639 anL12	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	109
ABB56068.1	Q31SA1	unreviewed	Q31SA1_SYNE7	Ferritin-like domain-containing protein	Synpcc7942_0036	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	261
ABB58669.1	Q8KUV9	unreviewed	Q8KUV9_SYNE7	ANL15	Synpcc7942_B2640 anL15	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	143
ABB56069.1	Q31SA0	unreviewed	Q31SA0_SYNE7	Uncharacterized protein	Synpcc7942_0037	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	67
ABB58670.1	Q31JT7	unreviewed	Q31JT7_SYNE7	ANL15.5	Synpcc7942_B2641 anL15.5	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	41
ABB56070.1	Q31S99	unreviewed	Q31S99_SYNE7	Mutator MutT protein	Synpcc7942_0038	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	158
ABB58671.1	Q31JT6	unreviewed	Q31JT6_SYNE7	Zinc-binding oxidoreductase	Synpcc7942_B2642	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	330
ABB56071.1	P21577	reviewed	6PGD_SYNE7	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd Synpcc7942_0039	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	471
ABB58672.1	Q8KUV7	unreviewed	Q8KUV7_SYNE7	ANL18 (ThiJ family protein)	Synpcc7942_B2643 anL18	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	241
ABB58673.1	P72557	unreviewed	P72557_SYNE7	ANL19 (Putative NarL homolog) (Response regulator receiver domain protein (CheY-like))	Synpcc7942_B2644 anL19	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	235
ABB56072.1	Q31S97	unreviewed	Q31S97_SYNE7	7,8-dihydroneopterin aldolase (EC 4.1.2.25)	Synpcc7942_0040	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	125
ABB56073.1	Q31S96	unreviewed	Q31S96_SYNE7	Probable transport protein	Synpcc7942_0041	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	434
ABB58674.1	P72559	unreviewed	P72559_SYNE7	ANL21	Synpcc7942_B2645 anL21	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	207
ABB58675.1	P72560	unreviewed	P72560_SYNE7	histidine kinase (EC 2.7.13.3)	Synpcc7942_B2646 anL22	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	438
ABB56074.1	Q31S95	reviewed	RL28_SYNE7	Large ribosomal subunit protein bL28 (50S ribosomal protein L28)	rpmB rpl28 Synpcc7942_0042	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	78
ABB56075.1	Q31S94	unreviewed	Q31S94_SYNE7	Uncharacterized protein	Synpcc7942_0043	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	121
ABB56076.1	Q31S93	unreviewed	Q31S93_SYNE7	FAD dependent oxidoreductase	Synpcc7942_0044	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	660
ABB58676.1	Q8KUV6	unreviewed	Q8KUV6_SYNE7	ANL23 (Response regulator receiver domain protein (CheY-like))	Synpcc7942_B2647 anL23	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	224
ABB58678.1	P72562	unreviewed	P72562_SYNE7	ANL24	Synpcc7942_B2649 anL24	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	160
ABB58679.1	Q8KUV5	unreviewed	Q8KUV5_SYNE7	ANL25	Synpcc7942_B2650 anL25	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	196
ABB56077.1	Q31S92	unreviewed	Q31S92_SYNE7	TPR repeat	Synpcc7942_0045	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	451
ABB58689.1	Q31JS8	unreviewed	Q31JS8_SYNE7	Uncharacterized protein	Synpcc7942_B2660	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	131
ABB58680.1	Q8KUV2	reviewed	XER_SYNE7	Tyrosine recombinase Synpcc7942_B2651	Synpcc7942_B2651 pANL28 sex3028	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	320
ABB56078.1	Q31S91	unreviewed	Q31S91_SYNE7	Methylase involved in ubiquinone/menaquinone biosynthesis-like	Synpcc7942_0046	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	447
ABB58682.1	Q8KUV1	unreviewed	Q8KUV1_SYNE7	ANL29 (Transcriptional modulator of MazE/toxin, MazF)	sepT1 Synpcc7942_B2653 anL29	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	116
ABB56079.1	Q31S90	unreviewed	Q31S90_SYNE7	TPR repeat	Synpcc7942_0047	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	788
ABB56080.1	Q31S89	unreviewed	Q31S89_SYNE7	Pilin polypeptide PilA-like	Synpcc7942_0048	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	144
ABB56081.1	Q31S88	unreviewed	Q31S88_SYNE7	Pilin polypeptide PilA-like	Synpcc7942_0049	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	144
ABB56082.1	Q31S87	unreviewed	Q31S87_SYNE7	Glycosyltransferase	Synpcc7942_0050	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	848
ABB56083.1	Q31S86	unreviewed	Q31S86_SYNE7	TPR repeat	Synpcc7942_0051	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	633
ABB56084.1	Q31S85	unreviewed	Q31S85_SYNE7	Methyltransferase type 11 domain-containing protein	Synpcc7942_0052	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	172
ABB56085.1	Q31S84	unreviewed	Q31S84_SYNE7	Glycosyltransferase 2-like domain-containing protein	Synpcc7942_0053	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	382
ABB56086.1	Q31S83	unreviewed	Q31S83_SYNE7	Rhamnosyl O-methyltransferase	Synpcc7942_0054	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	255
ABB56087.1	Q31S82	unreviewed	Q31S82_SYNE7	N-acetyltransferase domain-containing protein	Synpcc7942_0055	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	227
ABB56088.1	Q31S81	unreviewed	Q31S81_SYNE7	Perosamine synthetase	Synpcc7942_0056	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	375
ABB56089.1	Q31S80	unreviewed	Q31S80_SYNE7	C-3 methyl transferase	Synpcc7942_0057	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	410
ABB56090.1	Q31S79	unreviewed	Q31S79_SYNE7	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	Synpcc7942_0058	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	181
ABB56091.1	Q31S78	unreviewed	Q31S78_SYNE7	Uncharacterized protein	Synpcc7942_0059	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	81
ABB56092.1	Q31S77	unreviewed	Q31S77_SYNE7	Uncharacterized protein	Synpcc7942_0060	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	92
ABB56093.1	Q31S76	unreviewed	Q31S76_SYNE7	CDP-glucose 4,6-dehydratase	Synpcc7942_0061	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	368
ABB56094.1	Q31S75	unreviewed	Q31S75_SYNE7	Glucose-1-phosphate cytidylyltransferase	Synpcc7942_0062	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	257
ABB56095.1	Q31S74	unreviewed	Q31S74_SYNE7	Dual specificity protein phosphatase	Synpcc7942_0063	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	146
ABB56096.1	Q31S73	unreviewed	Q31S73_SYNE7	Uncharacterized protein	Synpcc7942_0064	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	55
