gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
Synpcc7942_0023,Synpcc7942_0023,100,354,0,0,1,354,1,354,0,679,354,1,<=>
Synpcc7942_0024,Synpcc7942_0024,100,396,0,0,1,396,1,396,0,794,396,1,<=>
Synpcc7942_0025,Synpcc7942_0025,100,568,0,0,1,568,1,568,0,1136,568,1,<=>
Synpcc7942_0026,Synpcc7942_0026,100,325,0,0,1,325,1,325,0,654,325,1,<=>
Synpcc7942_0027,Synpcc7942_0027,100,388,0,0,1,388,1,388,0,782,388,1,<=>
Synpcc7942_0028,Synpcc7942_0028,100,222,0,0,1,222,1,222,1.98E-160,439,222,1,<=>
Synpcc7942_0029,Synpcc7942_0029,100,273,0,0,1,273,1,273,0,541,273,1,<=>
Synpcc7942_0030,Synpcc7942_0030,100,210,0,0,1,210,1,210,1.87E-153,420,210,1,<=>
Synpcc7942_0031,Synpcc7942_0031,100,424,0,0,1,424,1,424,0,863,424,1,<=>
Synpcc7942_0032,Synpcc7942_0032,100,117,0,0,1,117,1,117,1.05E-83,236,117,1,<=>
Synpcc7942_0033,Synpcc7942_0033,100,110,0,0,1,110,1,110,3.06E-81,229,110,1,<=>
Synpcc7942_0034,Synpcc7942_0034,100,37,0,0,1,37,1,37,7.27E-23,77,37,1,<=>
Synpcc7942_0035,Synpcc7942_0035,100,252,0,0,1,252,1,252,0,514,252,1,<=>
Synpcc7942_0036,Synpcc7942_0036,100,261,0,0,1,261,1,261,0,521,261,1,<=>
Synpcc7942_0037,Synpcc7942_0037,100,67,0,0,1,67,1,67,3.53E-47,140,67,1,<=>
Synpcc7942_0038,Synpcc7942_0038,100,158,0,0,1,158,1,158,1.37E-115,320,158,1,<=>
Synpcc7942_0039,Synpcc7942_0039,100,471,0,0,1,471,1,471,0,963,471,1,<=>
Synpcc7942_0040,Synpcc7942_0040,100,125,0,0,1,125,1,125,2.34E-88,249,125,1,<=>
Synpcc7942_0041,Synpcc7942_0041,100,434,0,0,1,434,1,434,0,838,434,1,<=>
Synpcc7942_0042,Synpcc7942_0042,100,78,0,0,1,78,1,78,1.36E-54,159,78,1,<=>
Synpcc7942_0043,Synpcc7942_0043,100,121,0,0,1,121,1,121,5.8E-89,250,121,1,<=>
Synpcc7942_0044,Synpcc7942_0044,100,660,0,0,1,660,1,660,0,1332,660,1,<=>
Synpcc7942_0045,Synpcc7942_0045,100,451,0,0,1,451,1,451,0,898,451,1,<=>
Synpcc7942_0046,Synpcc7942_0046,100,447,0,0,1,447,1,447,0,898,447,1,<=>
Synpcc7942_0047,Synpcc7942_0047,100,788,0,0,1,788,1,788,0,1595,788,1,<=>
Synpcc7942_0048,Synpcc7942_0048,100,144,0,0,1,144,1,144,2.63E-102,285,144,1,<=>
Synpcc7942_0049,Synpcc7942_0049,100,144,0,0,1,144,1,144,1.22E-102,286,144,1,<=>
Synpcc7942_0050,Synpcc7942_0050,100,848,0,0,1,848,1,848,0,1762,848,1,<=>
Synpcc7942_0051,Synpcc7942_0051,100,633,0,0,1,633,1,633,0,1305,633,1,<=>
Synpcc7942_0052,Synpcc7942_0052,100,172,0,0,1,172,1,172,8.98E-130,357,172,1,<=>
Synpcc7942_0053,Synpcc7942_0053,100,382,0,0,1,382,1,382,0,785,382,1,<=>
Synpcc7942_0054,Synpcc7942_0054,100,255,0,0,1,255,1,255,0,527,255,1,<=>
Synpcc7942_0055,Synpcc7942_0055,100,227,0,0,1,227,1,227,8.65E-173,470,227,1,<=>
Synpcc7942_0056,Synpcc7942_0056,100,375,0,0,1,375,1,375,0,790,375,1,<=>
Synpcc7942_0057,Synpcc7942_0057,100,410,0,0,1,410,1,410,0,840,410,1,<=>
Synpcc7942_0058,Synpcc7942_0058,100,181,0,0,1,181,1,181,3.2E-133,367,181,1,<=>
Synpcc7942_0059,Synpcc7942_0059,100,81,0,0,1,81,1,81,1.9E-55,162,81,1,<=>
Synpcc7942_0060,Synpcc7942_0060,100,92,0,0,1,92,1,92,1.81E-65,188,92,1,<=>
Synpcc7942_0061,Synpcc7942_0061,100,368,0,0,1,368,1,368,0,758,368,1,<=>
Synpcc7942_0062,Synpcc7942_0062,100,257,0,0,1,257,1,257,0,540,257,1,<=>
Synpcc7942_0063,Synpcc7942_0063,100,146,0,0,1,146,1,146,5.14E-106,295,146,1,<=>
Synpcc7942_0064,Synpcc7942_0064,100,55,0,0,1,55,1,55,3.74E-36,111,55,1,<=>
Synpcc7942_0065,Synpcc7942_0065,100,184,0,0,1,184,1,184,6.34E-137,376,184,1,<=>
Synpcc7942_0066,Synpcc7942_0066,100,504,0,0,1,504,1,504,0,982,504,1,<=>
Synpcc7942_0067,Synpcc7942_0067,100,269,0,0,1,269,1,269,0,513,269,1,<=>
Synpcc7942_0068,Synpcc7942_0068,100,329,0,0,1,329,1,329,0,654,329,1,<=>
Synpcc7942_0069,Synpcc7942_0069,100,98,0,0,1,98,1,98,7.13E-69,197,98,1,<=>
Synpcc7942_0070,Synpcc7942_0070,100,186,0,0,1,186,1,186,5.74E-137,376,186,1,<=>
Synpcc7942_0071,Synpcc7942_0071,100,399,0,0,1,399,1,399,0,824,399,1,<=>
Synpcc7942_0072,Synpcc7942_0072,100,217,0,0,1,217,1,217,3.81E-163,445,217,1,<=>
Synpcc7942_0073,Synpcc7942_0073,100,398,0,0,1,398,1,398,0,832,398,1,<=>
Synpcc7942_0074,Synpcc7942_0074,100,117,0,0,1,117,1,117,2.84E-85,240,117,1,<=>
Synpcc7942_0075,Synpcc7942_0075,100,437,0,0,1,437,1,437,0,889,437,1,<=>
Synpcc7942_0076,Synpcc7942_0076,100,253,0,0,1,253,1,253,0,506,253,1,<=>
Synpcc7942_0077,Synpcc7942_0077,100,229,0,0,1,229,1,229,1.03E-166,455,229,1,<=>
Synpcc7942_0078,Synpcc7942_0078,100,149,0,0,1,149,1,149,4.96E-110,305,149,1,<=>
Synpcc7942_0079,Synpcc7942_0079,100,148,0,0,1,148,1,148,2.09E-109,303,148,1,<=>
Synpcc7942_0080,Synpcc7942_0080,100,407,0,0,1,407,1,407,0,796,407,1,<=>
Synpcc7942_0081,Synpcc7942_0081,100,69,0,0,1,69,1,69,3.55E-48,143,69,1,<=>
Synpcc7942_0082,Synpcc7942_0082,100,582,0,0,1,582,1,582,0,1179,582,1,<=>
Synpcc7942_0083,Synpcc7942_0083,100,65,0,0,1,65,1,65,1.32E-42,128,65,1,<=>
Synpcc7942_0084,Synpcc7942_0084,100,233,0,0,1,233,1,233,2.27E-168,460,233,1,<=>
Synpcc7942_0085,Synpcc7942_0085,100,228,0,0,1,228,1,228,2.8E-172,469,228,1,<=>
Synpcc7942_0086,Synpcc7942_0086,100,694,0,0,1,694,1,694,0,1438,694,1,<=>
Synpcc7942_0087,Synpcc7942_0087,100,503,0,0,1,503,1,503,0,979,503,1,<=>
Synpcc7942_0088,Synpcc7942_0088,100,240,0,0,1,240,1,240,1.47E-180,491,240,1,<=>
Synpcc7942_0089,Synpcc7942_0089,100,244,0,0,1,244,1,244,2.05E-180,491,244,1,<=>
Synpcc7942_0090,Synpcc7942_0090,100,327,0,0,1,327,1,327,0,664,327,1,<=>
Synpcc7942_0091,Synpcc7942_0091,100,203,0,0,1,203,1,203,2.09E-147,404,203,1,<=>
Synpcc7942_0092,Synpcc7942_0092,100,115,0,0,1,115,1,115,1.86E-85,240,115,1,<=>
Synpcc7942_0093,Synpcc7942_0093,100,215,0,0,1,215,1,215,6.74E-156,427,215,1,<=>
Synpcc7942_0094,Synpcc7942_0094,100,311,0,0,1,311,1,311,0,606,311,1,<=>
Synpcc7942_0095,Synpcc7942_0095,100,249,0,0,1,249,1,249,0,509,249,1,<=>
Synpcc7942_0096,Synpcc7942_0096,100,173,0,0,1,173,1,173,1.09E-123,342,173,1,<=>
Synpcc7942_0097,Synpcc7942_0097,100,1263,0,0,1,1263,1,1263,0,2565,1263,1,<=>
Synpcc7942_0098,Synpcc7942_0098,100,594,0,0,1,594,1,594,0,1187,594,1,<=>
Synpcc7942_0099,Synpcc7942_0099,100,109,0,0,1,109,1,109,3.76E-79,224,109,1,<=>
Synpcc7942_0100,Synpcc7942_0100,100,184,0,0,1,184,1,184,1.03E-136,375,184,1,<=>
Synpcc7942_0101,Synpcc7942_0101,100,444,0,0,1,444,1,444,0,908,444,1,<=>
Synpcc7942_0102,Synpcc7942_0102,100,187,0,0,1,187,1,187,1.05E-139,384,187,1,<=>
Synpcc7942_0103,Synpcc7942_0103,100,125,0,0,1,125,1,125,3.27E-91,256,125,1,<=>
Synpcc7942_0104,Synpcc7942_0104,100,258,0,0,1,258,1,258,0,538,258,1,<=>
Synpcc7942_0105,Synpcc7942_0105,100,574,0,0,1,574,1,574,0,1168,574,1,<=>
Synpcc7942_0106,Synpcc7942_0106,100,192,0,0,1,192,1,192,1.34E-140,386,192,1,<=>
Synpcc7942_0107,Synpcc7942_0107,100,472,0,0,1,472,1,472,0,925,472,1,<=>
Synpcc7942_0108,Synpcc7942_0108,100,86,0,0,1,86,1,86,5.5E-60,174,86,1,<=>
Synpcc7942_0109,Synpcc7942_0109,100,168,0,0,1,168,1,168,1.18E-125,346,168,1,<=>
Synpcc7942_0110,Synpcc7942_0110,100,185,0,0,1,185,1,185,1.13E-129,358,185,1,<=>
Synpcc7942_0111,Synpcc7942_0111,100,531,0,0,1,531,1,531,0,1067,531,1,<=>
Synpcc7942_0112,Synpcc7942_0112,100,484,0,0,1,484,1,484,0,988,484,1,<=>
Synpcc7942_0113,Synpcc7942_0113,100,30,0,0,1,30,1,30,5.84E-14,53.9,30,1,<=>
Synpcc7942_0114,Synpcc7942_0114,100,123,0,0,1,123,1,123,1.42E-85,241,123,1,<=>
Synpcc7942_0115,Synpcc7942_0115,100,171,0,0,1,171,1,171,3.16E-126,348,171,1,<=>
Synpcc7942_0116,Synpcc7942_0116,100,324,0,0,1,324,1,324,0,647,324,1,<=>
Synpcc7942_0117,Synpcc7942_0117,100,443,0,0,1,443,1,443,0,917,443,1,<=>
Synpcc7942_0118,Synpcc7942_0118,100,494,0,0,1,494,1,494,0,1015,494,1,<=>
Synpcc7942_0119,Synpcc7942_0119,100,185,0,0,1,185,1,185,9.83E-137,376,185,1,<=>
Synpcc7942_0120,Synpcc7942_0120,100,161,0,0,1,161,1,161,2.22E-121,335,161,1,<=>
Synpcc7942_0121,Synpcc7942_0121,100,408,0,0,1,408,1,408,0,807,408,1,<=>
Synpcc7942_0122,Synpcc7942_0122,100,525,0,0,1,525,1,525,0,1068,525,1,<=>
Synpcc7942_0123,Synpcc7942_0123,100,29,0,0,1,29,1,29,1.92E-16,60.1,29,1,<=>
Synpcc7942_0124,Synpcc7942_0124,100,199,0,0,1,199,1,199,2.84E-148,406,199,1,<=>
Synpcc7942_0125,Synpcc7942_0125,100,209,0,0,1,209,1,209,7.78E-155,424,209,1,<=>
Synpcc7942_0126,Synpcc7942_0126,100,258,0,0,1,258,1,258,0,526,258,1,<=>
Synpcc7942_0127,Synpcc7942_0127,100,222,0,0,1,222,1,222,8.11E-164,447,222,1,<=>
Synpcc7942_0128,Synpcc7942_0128,100,432,0,0,1,432,1,432,0,824,432,1,<=>
Synpcc7942_0129,Synpcc7942_0129,100,143,0,0,1,143,1,143,1.17E-102,286,143,1,<=>
Synpcc7942_0130,Synpcc7942_0130,100,195,0,0,1,195,1,195,4E-141,388,195,1,<=>
Synpcc7942_0131,Synpcc7942_0131,100,941,0,0,1,941,1,941,0,1932,941,1,<=>
Synpcc7942_0132,Synpcc7942_0132,100,349,0,0,1,349,1,349,0,694,349,1,<=>
Synpcc7942_0133,Synpcc7942_0133,100,279,0,0,1,279,1,279,0,555,279,1,<=>
Synpcc7942_0134,Synpcc7942_0134,100,435,0,0,1,435,1,435,0,843,435,1,<=>
Synpcc7942_0135,Synpcc7942_0135,100,211,0,0,1,211,1,211,2.59E-156,427,211,1,<=>
Synpcc7942_0136,Synpcc7942_0136,100,435,0,0,1,435,1,435,0,876,435,1,<=>
Synpcc7942_0137,Synpcc7942_0137,100,387,0,0,1,387,1,387,0,781,387,1,<=>
Synpcc7942_0138,Synpcc7942_0138,100,200,0,0,1,200,1,200,4.53E-150,410,200,1,<=>
Synpcc7942_0139,Synpcc7942_0139,100,612,0,0,1,612,1,612,0,1261,612,1,<=>
Synpcc7942_0140,Synpcc7942_0140,100,132,0,0,1,132,1,132,2.15E-91,257,132,1,<=>
Synpcc7942_0141,Synpcc7942_0141,100,314,0,0,1,314,1,314,0,625,314,1,<=>
Synpcc7942_0142,Synpcc7942_0142,100,464,0,0,1,464,1,464,0,912,464,1,<=>
Synpcc7942_0143,Synpcc7942_0143,100,326,0,0,1,326,1,326,0,671,326,1,<=>
Synpcc7942_0144,Synpcc7942_0144,100,150,0,0,1,150,1,150,3.44E-106,296,150,1,<=>
Synpcc7942_0145,Synpcc7942_0145,100,107,0,0,1,107,1,107,7.78E-73,208,107,1,<=>
Synpcc7942_0146,Synpcc7942_0146,100,231,0,0,1,231,1,231,8.06E-170,463,231,1,<=>
Synpcc7942_0147,Synpcc7942_0147,100,110,0,0,1,110,1,110,3.88E-79,224,110,1,<=>
Synpcc7942_0148,Synpcc7942_0148,100,514,0,0,1,514,1,514,0,1049,514,1,<=>
Synpcc7942_0149,Synpcc7942_0149,100,185,0,0,1,185,1,185,3.98E-139,382,185,1,<=>
Synpcc7942_0150,Synpcc7942_0150,100,388,0,0,1,388,1,388,0,776,388,1,<=>
Synpcc7942_0151,Synpcc7942_0151,100,796,0,0,1,796,1,796,0,1586,796,1,<=>
Synpcc7942_0152,Synpcc7942_0152,100,365,0,0,1,365,1,365,0,719,365,1,<=>
Synpcc7942_0153,Synpcc7942_0153,100,93,0,0,1,93,1,93,1.49E-64,186,93,1,<=>
Synpcc7942_0154,Synpcc7942_0154,100,205,0,0,1,205,1,205,2.77E-150,412,205,1,<=>
Synpcc7942_0155,Synpcc7942_0155,100,76,0,0,1,76,1,76,1E-48,145,76,1,<=>
Synpcc7942_0156,Synpcc7942_0156,100,543,0,0,1,543,1,543,0,1112,543,1,<=>
Synpcc7942_0157,Synpcc7942_0157,100,172,0,0,1,172,1,172,5.28E-121,335,172,1,<=>
Synpcc7942_0158,Synpcc7942_0158,100,391,0,0,1,391,1,391,0,792,391,1,<=>
Synpcc7942_0159,Synpcc7942_0159,100,144,0,0,1,144,1,144,1.51E-106,296,144,1,<=>
Synpcc7942_0160,Synpcc7942_0160,100,311,0,0,1,311,1,311,0,630,311,1,<=>
Synpcc7942_0161,Synpcc7942_0161,100,180,0,0,1,180,1,180,2.28E-133,367,180,1,<=>
Synpcc7942_0162,Synpcc7942_0162,100,116,0,0,1,116,1,116,2.15E-84,238,116,1,<=>
Synpcc7942_0163,Synpcc7942_0163,100,249,0,0,1,249,1,249,0,513,249,1,<=>
Synpcc7942_0164,Synpcc7942_0164,100,139,0,0,1,139,1,139,1.1E-99,278,139,1,<=>
Synpcc7942_0165,Synpcc7942_0165,100,166,0,0,1,166,1,166,2.07E-119,330,166,1,<=>
Synpcc7942_0166,Synpcc7942_0166,100,317,0,0,1,317,1,317,0,647,317,1,<=>
Synpcc7942_0167,Synpcc7942_0167,100,76,0,0,1,76,1,76,1.8E-50,149,76,1,<=>
Synpcc7942_0168,Synpcc7942_0168,100,227,0,0,1,227,1,227,9.37E-154,422,227,1,<=>
Synpcc7942_0169,Synpcc7942_0169,100,723,0,0,1,723,1,723,0,1496,723,1,<=>
Synpcc7942_0170,Synpcc7942_0170,100,84,0,0,1,84,1,84,2.55E-57,167,84,1,<=>
Synpcc7942_0171,Synpcc7942_0171,100,372,0,0,1,372,1,372,0,766,372,1,<=>
Synpcc7942_0172,Synpcc7942_0172,100,97,0,0,1,97,1,97,1.39E-66,191,97,1,<=>
Synpcc7942_0173,Synpcc7942_0173,100,289,0,0,1,289,1,289,0,584,289,1,<=>
Synpcc7942_0174,Synpcc7942_0174,100,292,0,0,1,292,1,292,0,580,292,1,<=>
Synpcc7942_0175,Synpcc7942_0175,100,70,0,0,1,70,1,70,1.01E-43,132,70,1,<=>
Synpcc7942_0176,Synpcc7942_0176,100,133,0,0,1,133,1,133,4.06E-94,264,133,1,<=>
Synpcc7942_0177,Synpcc7942_0177,100,262,0,0,1,262,1,262,0,515,262,1,<=>
Synpcc7942_0178,Synpcc7942_0178,100,325,0,0,1,325,1,325,0,655,325,1,<=>
Synpcc7942_0179,Synpcc7942_0179,100,117,0,0,1,117,1,117,1.82E-83,236,117,1,<=>
Synpcc7942_0180,Synpcc7942_0180,100,290,0,0,1,290,1,290,0,591,290,1,<=>
Synpcc7942_0181,Synpcc7942_0181,100,457,0,0,1,457,1,457,0,919,457,1,<=>
Synpcc7942_0182,Synpcc7942_0182,100,241,0,0,1,241,1,241,3.07E-179,488,241,1,<=>
Synpcc7942_0183,Synpcc7942_0183,100,129,0,0,1,129,1,129,2.18E-91,256,129,1,<=>
Synpcc7942_0184,Synpcc7942_0184,100,363,0,0,1,363,1,363,0,686,363,1,<=>
Synpcc7942_0185,Synpcc7942_0185,100,508,0,0,1,508,1,508,0,1024,508,1,<=>
Synpcc7942_0186,Synpcc7942_0186,100,83,0,0,1,83,1,83,1.04E-55,163,83,1,<=>
Synpcc7942_0187,Synpcc7942_0187,100,347,0,0,1,347,1,347,0,681,347,1,<=>
Synpcc7942_0188,Synpcc7942_0188,100,578,0,0,1,578,1,578,0,1164,578,1,<=>
Synpcc7942_0189,Synpcc7942_0189,100,575,0,0,1,575,1,575,0,1187,575,1,<=>
Synpcc7942_0190,Synpcc7942_0190,100,374,0,0,1,374,1,374,0,745,374,1,<=>
Synpcc7942_0191,Synpcc7942_0191,100,382,0,0,1,382,1,382,0,776,382,1,<=>
Synpcc7942_0192,Synpcc7942_0192,100,158,0,0,1,158,1,158,1.74E-111,310,158,1,<=>
Synpcc7942_0193,Synpcc7942_0193,100,74,0,0,1,74,1,74,3.63E-53,155,74,1,<=>
Synpcc7942_0194,Synpcc7942_0194,100,953,0,0,1,953,1,953,0,1927,953,1,<=>
Synpcc7942_0195,Synpcc7942_0195,100,142,0,0,1,142,1,142,5.76E-97,272,142,1,<=>
Synpcc7942_0196,Synpcc7942_0196,100,493,0,0,1,493,1,493,0,1013,493,1,<=>
Synpcc7942_0197,Synpcc7942_0197,100,453,0,0,1,453,1,453,0,878,453,1,<=>
Synpcc7942_0198,Synpcc7942_0198,100,478,0,0,1,478,1,478,0,964,478,1,<=>
Synpcc7942_0199,Synpcc7942_0199,100,308,0,0,1,308,1,308,0,612,308,1,<=>
Synpcc7942_0200,Synpcc7942_0200,100,178,0,0,1,178,1,178,1.37E-129,357,178,1,<=>
Synpcc7942_0201,Synpcc7942_0201,100,250,0,0,1,250,1,250,0,511,250,1,<=>
Synpcc7942_0202,Synpcc7942_0202,100,483,0,0,1,483,1,483,0,957,483,1,<=>
Synpcc7942_0203,Synpcc7942_0203,100,368,0,0,1,368,1,368,0,749,368,1,<=>
Synpcc7942_0204,Synpcc7942_0204,100,154,0,0,1,154,1,154,2.63E-111,309,154,1,<=>
Synpcc7942_0205,Synpcc7942_0205,100,338,0,0,1,338,1,338,0,697,338,1,<=>
Synpcc7942_0206,Synpcc7942_0206,100,462,0,0,1,462,1,462,0,947,462,1,<=>
Synpcc7942_0207,Synpcc7942_0207,100,56,0,0,1,56,1,56,9.29E-37,113,56,1,<=>
Synpcc7942_0208,Synpcc7942_0208,100,923,0,0,1,923,1,923,0,1855,923,1,<=>
Synpcc7942_0209,Synpcc7942_0209,100,208,0,0,1,208,1,208,2.81E-153,419,208,1,<=>
Synpcc7942_0210,Synpcc7942_0210,100,133,0,0,1,133,1,133,1.48E-94,265,133,1,<=>
Synpcc7942_0211,Synpcc7942_0211,100,491,0,0,1,491,1,491,0,1003,491,1,<=>
Synpcc7942_0212,Synpcc7942_0212,100,362,0,0,1,362,1,362,0,738,362,1,<=>
Synpcc7942_0213,Synpcc7942_0213,100,181,0,0,1,181,1,181,1.04E-136,375,181,1,<=>
Synpcc7942_0214,Synpcc7942_0214,100,307,0,0,1,307,1,307,0,592,307,1,<=>
Synpcc7942_0215,Synpcc7942_0215,100,129,0,0,1,129,1,129,3.57E-92,258,129,1,<=>
Synpcc7942_0216,Synpcc7942_0216,100,338,0,0,1,338,1,338,0,681,338,1,<=>
Synpcc7942_0217,Synpcc7942_0217,100,252,0,0,1,252,1,252,0,515,252,1,<=>
Synpcc7942_0218,Synpcc7942_0218,100,55,0,0,1,55,1,55,1.5E-37,115,55,1,<=>
Synpcc7942_0219,Synpcc7942_0219,100,106,0,0,1,106,1,106,1.98E-73,209,106,1,<=>
Synpcc7942_0220,Synpcc7942_0220,100,252,0,0,1,252,1,252,0,511,252,1,<=>
Synpcc7942_0221,Synpcc7942_0221,100,345,0,0,1,345,1,345,0,686,345,1,<=>
Synpcc7942_0222,Synpcc7942_0222,100,288,0,0,1,288,1,288,0,581,288,1,<=>
Synpcc7942_0223,Synpcc7942_0223,100,136,0,0,1,136,1,136,6.04E-100,279,136,1,<=>
Synpcc7942_0224,Synpcc7942_0224,100,46,0,0,1,46,1,46,2.13E-29,94,46,1,<=>
Synpcc7942_0225,Synpcc7942_0225,100,67,0,0,1,67,1,67,2.89E-45,135,67,1,<=>
Synpcc7942_0226,Synpcc7942_0226,100,91,0,0,1,91,1,91,4.63E-62,179,91,1,<=>
Synpcc7942_0227,Synpcc7942_0227,100,208,0,0,1,208,1,208,3.93E-156,427,208,1,<=>
Synpcc7942_0228,Synpcc7942_0228,100,86,0,0,1,86,1,86,1.36E-61,178,86,1,<=>
Synpcc7942_0229,Synpcc7942_0229,100,187,0,0,1,187,1,187,1.14E-134,371,187,1,<=>
Synpcc7942_0230,Synpcc7942_0230,100,348,0,0,1,348,1,348,0,659,348,1,<=>
Synpcc7942_0231,Synpcc7942_0231,100,174,0,0,1,174,1,174,6.25E-130,358,174,1,<=>
Synpcc7942_0232,Synpcc7942_0232,100,448,0,0,1,448,1,448,0,890,448,1,<=>
Synpcc7942_0233,Synpcc7942_0233,100,141,0,0,1,141,1,141,3.6E-102,285,141,1,<=>
Synpcc7942_0234,Synpcc7942_0234,100,330,0,0,1,330,1,330,0,665,330,1,<=>
Synpcc7942_0235,Synpcc7942_0235,100,171,0,0,1,171,1,171,9.39E-125,344,171,1,<=>
Synpcc7942_0236,Synpcc7942_0236,100,179,0,0,1,179,1,179,9.29E-133,365,179,1,<=>
Synpcc7942_0237,Synpcc7942_0237,100,192,0,0,1,192,1,192,1.91E-138,380,192,1,<=>
Synpcc7942_0238,Synpcc7942_0238,100,393,0,0,1,393,1,393,0,754,393,1,<=>
Synpcc7942_0239,Synpcc7942_0239,100,112,0,0,1,112,1,112,8.71E-82,231,112,1,<=>
Synpcc7942_0240,Synpcc7942_0240,100,163,0,0,1,163,1,163,2.79E-120,332,163,1,<=>
Synpcc7942_0241,Synpcc7942_0241,100,455,0,0,1,455,1,455,0,919,455,1,<=>
Synpcc7942_0242,Synpcc7942_0242,100,369,0,0,1,369,1,369,0,701,369,1,<=>
Synpcc7942_0243,Synpcc7942_0243,100,47,0,0,1,47,1,47,5.91E-29,92.8,47,1,<=>
Synpcc7942_0244,Synpcc7942_0244,100,844,0,0,1,844,1,844,0,1756,844,1,<=>
Synpcc7942_0245,Synpcc7942_0245,100,353,0,0,1,353,1,353,0,733,353,1,<=>
Synpcc7942_0246,Synpcc7942_0246,100,359,0,0,1,359,1,359,0,735,359,1,<=>
Synpcc7942_0247,Synpcc7942_0247,100,377,0,0,1,377,1,377,0,726,377,1,<=>
Synpcc7942_0248,Synpcc7942_0248,100,396,0,0,1,396,1,396,0,761,396,1,<=>
Synpcc7942_0249,Synpcc7942_0249,100,261,0,0,1,261,1,261,0,530,261,1,<=>
Synpcc7942_0250,Synpcc7942_0250,100,155,0,0,1,155,1,155,2.19E-109,304,155,1,<=>
Synpcc7942_0251,Synpcc7942_0251,100,256,0,0,1,256,1,256,0,515,256,1,<=>
Synpcc7942_0252,Synpcc7942_0252,100,75,0,0,1,75,1,75,3.05E-54,159,75,1,<=>
Synpcc7942_0253,Synpcc7942_0253,100,152,0,0,1,152,1,152,2.32E-109,304,152,1,<=>
Synpcc7942_0254,Synpcc7942_0254,100,856,0,0,1,856,1,856,0,1728,856,1,<=>
Synpcc7942_0255,Synpcc7942_0255,100,426,0,0,1,426,1,426,0,865,426,1,<=>
Synpcc7942_0256,Synpcc7942_0256,100,408,0,0,1,408,1,408,0,834,408,1,<=>
Synpcc7942_0257,Synpcc7942_0257,100,249,0,0,1,249,1,249,6.46E-175,478,249,1,<=>
Synpcc7942_0258,Synpcc7942_0258,100,146,0,0,1,146,1,146,2.13E-107,298,146,1,<=>
Synpcc7942_0259,Synpcc7942_0259,100,110,0,0,1,110,1,110,4.81E-73,209,110,1,<=>
Synpcc7942_0260,Synpcc7942_0260,100,824,0,0,1,824,1,824,0,1643,824,1,<=>
Synpcc7942_0261,Synpcc7942_0261,100,199,0,0,1,199,1,199,1.63E-145,399,199,1,<=>
Synpcc7942_0262,Synpcc7942_0262,100,464,0,0,1,464,1,464,0,945,464,1,<=>
Synpcc7942_0263,Synpcc7942_0263,100,306,0,0,1,306,1,306,0,596,306,1,<=>
