Experiment,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,Swift,publication,biosample_strain,biosample_genotype,project,condition,reference_condition,post_induction_time,strain_description,base_media,carbon_source,carbon_ml/min,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,entrainment,post_entrainment_condition,growth_phase,OD_wavelength,OD,fluorescent light,light_flux_umol/m2/s,skip,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation
SRX11229889,SRR14915715,2022-07-25 00:05:22,2021-06-25 20:44:31,25632348,7689704400,25632348,300,2287,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14915/SRR14915715/SRR14915715.lite.1,Lib-RNASQ-gluSZ3,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP325478,PRJNA740138,,740138,SRS9272770,SAMN19820928,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,SZ3,,,,,,,no,,,,,"QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",SRA1250412,,public,5B41942800E8F9733509B2C2F843E148,82C3C93FFDFC7775C6417597E73E742B,,,,https://www.nature.com/articles/s41467-023-39222-w,PCC 7942,SZ3,glucose,SZ3,WT,,Glucokinase is knocked out,BG-11,CO2,,,,aerobic,,,30C,,,log,730,4,,50,,True,True,True
SRX11313113,SRR15000903,2022-07-25 00:05:22,2021-06-30 17:39:28,27695425,8308627500,27695425,300,2465,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15000/SRR15000903/SRR15000903.lite.1,Lib-RNASQ-SZWT1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP325478,PRJNA740138,,740138,SRS9342149,SAMN19899869,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,SZWT1,,,,,,,no,,,,,"QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",SRA1252783,,public,4E5C85AB00375E165F26480F6D55FAB4,4B3F5533D99F0A2166EB2EBEC3D321C9,,,,https://www.nature.com/articles/s41467-023-39222-w,PCC 7942,WT,glucose,WT,WT,,WT,BG-11,CO2,,,,aerobic,,,30C,,,log,730,4,,50,,True,True,True
SRX11402692,SRR15092823,2022-07-05 00:01:22,2021-07-09 20:11:30,24300511,7290153300,24300511,300,2251,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15092/SRR15092823/SRR15092823.lite.1,Lib-RNASQ-gluSZ181,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP325478,PRJNA740138,,740138,SRS9445201,SAMN20058968,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,SZ181,,,,,,,no,,,,,"QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",SRA1257205,,public,66EE076C18AED06BE99A255F72B42DD2,7A4798AA78A8CCCC26E720093F83E7F6,,,,https://www.nature.com/articles/s41467-023-39222-w,PCC 7942,SZ181,glucose,SZ181,WT,,A chloramphenicol resistance fragment was inserted between synpcc7942_1158 and synpcc7942_1159 gene,BG-11,CO2,,,,aerobic,,,30C,,,log,730,4,,50,,True,True,True
SRX11402693,SRR15092822,2022-07-05 00:01:22,2021-07-09 20:14:02,34905718,10471715400,34905718,300,3208,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15092/SRR15092822/SRR15092822.lite.1,Lib-RNASQ-gluSZ182,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP325478,PRJNA740138,,740138,SRS9445203,SAMN20058969,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,SZ182,,,,,,,no,,,,,"QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",SRA1257205,,public,BD07CEEC3D82D27AD6BCD44F57E88F9C,E8632B24BD28129C1469BA8B3E63A99A,,,,https://www.nature.com/articles/s41467-023-39222-w,PCC 7942,SZ182,glucose,SZ182,WT,,"A chloramphenicol resistance fragment was inserted between synpcc7942_1158 and synpcc7942_1159 gene, a point mutation of G274A was introduced in the synpcc7942_1161 gene",BG-11,CO2,,,,aerobic,,,30C,,,log,730,4,,50,,True,True,True
SRX15590299,SRR19538272,2022-06-06 13:09:15,2022-06-06 13:02:43,6570183,657018300,0,100,380,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538272/SRR19538272.lite.1,GSM6212719,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292321,SAMN28860397,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212719,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,0AB36567A42CFACB4533E805F04009D3,618C25754C604C2D74B8A470CC35B55A,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d1,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590300,SRR19538271,2022-06-06 13:09:15,2022-06-06 13:03:34,7240321,724032100,0,100,418,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538271/SRR19538271.lite.1,GSM6212720,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292322,SAMN28860396,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212720,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,577317D6E3E4035A30B2BB86483C8503,8328FAE3093ABF0F298D623597423B9E,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d1,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590301,SRR19538270,2022-06-06 13:09:15,2022-06-06 13:03:42,7709268,770926800,0,100,445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538270/SRR19538270.lite.1,GSM6212721,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292323,SAMN28860395,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212721,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,D2F444E40182CCAAFED919D11463AEDB,6A234C9308434D8BA75671993BD041A6,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d1,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590304,SRR19538267,2022-06-06 13:09:15,2022-06-06 13:02:53,7036951,703695100,0,100,410,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538267/SRR19538267.lite.1,GSM6212724,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292326,SAMN28860392,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212724,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,323DACB4FD72F1611D14A78D963E4BDE,7DABF15E9B2611E16422EDF65AF1C3AE,,,,35814646,PCC 7942,WT,biofilm,WT_CM_d1,WT_BG,,WT,conditioned media,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590305,SRR19538266,2022-06-06 13:09:15,2022-06-06 13:03:20,6941341,694134100,0,100,405,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538266/SRR19538266.lite.1,GSM6212725,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292327,SAMN28860391,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212725,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,09626E2B128F13087B15E204ABEC9A88,39F4053FDE9034B4B19CD895086900B2,,,,35814646,PCC 7942,Btn5,biofilm,btn5_BG_d1,WT_BG,,pilB::Tn5 Mutant,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590306,SRR19538265,2022-06-06 13:09:15,2022-06-06 13:03:17,6894458,689445800,0,100,398,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538265/SRR19538265.lite.1,GSM6212726,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292328,SAMN28860390,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212726,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,6F7087C5328E7A7AF508789C619CAA22,0387815F9DB743100F26801654416FFD,,,,35814646,PCC 7942,Btn5,biofilm,btn5_BG_d1,WT_BG,,pilB::Tn5 Mutant,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590307,SRR19538264,2022-06-06 15:00:38,2022-06-06 14:00:38,6065989,606598900,0,100,351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538264/SRR19538264.lite.1,GSM6212727,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292329,SAMN28860389,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212727,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,51AEC87447480D52938C53B37EE3F49C,B8D3549A2A27291C6EEB5FF7BDBF39E3,,,,35814646,PCC 7942,Btn5,biofilm,btn5_BG_d1,WT_BG,,pilB::Tn5 Mutant,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590308,SRR19538263,2022-06-06 15:00:38,2022-06-06 14:00:52,7187072,718707200,0,100,416,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538263/SRR19538263.lite.1,GSM6212728,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292330,SAMN28860388,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212728,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,706DFDA8C24038ABAE393385DF3BBFC2,033D5286B5621EE701BDD00F60B01889,,,,35814646,PCC 7942,Btn5,biofilm,btn5_CM_d1,WT_BG,,pilB::Tn5 Mutant,conditioned media,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590309,SRR19538262,2022-06-06 15:00:38,2022-06-06 14:02:24,6870817,687081700,0,100,399,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538262/SRR19538262.lite.1,GSM6212729,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292331,SAMN28860387,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212729,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,DC63828B236CF18977C328F1E839E01A,E10E6FBE77F8A1BEA3D23CC22A6477E0,,,,35814646,PCC 7942,Btn5,biofilm,btn5_CM_d1,WT_BG,,pilB::Tn5 Mutant,conditioned media,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590310,SRR19538261,2022-06-06 15:00:38,2022-06-06 14:00:40,7045051,704505100,0,100,409,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538261/SRR19538261.lite.1,GSM6212730,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292332,SAMN28860386,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212730,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,A3803B46AC4C900833D8838BE1F412F6,3645ACE77B084F6AE63E5CE13CF87EFA,,,,35814646,PCC 7942,Btn5,biofilm,btn5_CM_d1,WT_BG,,pilB::Tn5 Mutant,conditioned media,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590311,SRR19538260,2022-06-06 15:00:38,2022-06-06 14:01:08,7761056,776105600,0,100,449,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538260/SRR19538260.lite.1,GSM6212731,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292333,SAMN28860385,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212731,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,62AEA95BCDFBFCCFA063EA35CDC418B7,80BF3AD53CE2FE6621C5220A6AE58C22,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d4,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590312,SRR19538259,2022-06-06 15:00:38,2022-06-06 14:01:20,8835840,883584000,0,100,512,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538259/SRR19538259.lite.1,GSM6212732,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292334,SAMN28860384,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212732,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,7DE7139CE66E2827C12847ADBF2569D6,987DE30A460818B0C43729B235DBB183,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d4,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
SRX15590313,SRR19538258,2022-06-06 15:00:38,2022-06-06 14:02:57,7932133,793213300,0,100,459,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538258/SRR19538258.lite.1,GSM6212733,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292335,SAMN28860383,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212733,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,524890101E4FE7A806B19C29AB00AE96,B63C69BB843CC7C90F51FF0B3E269ADA,,,,35814646,PCC 7942,WT,biofilm,WT_BG_d4,WT_BG,,WT,BG-11,CO2,,,,aerobic,,,30C,,,,750,0.5,,5-30,,True,True,True
