,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator
Synpcc7942_2030,0.0638143822619514,cpcG,CP000100.1,,2099548,2100300,-,phycobilisome rod-core linker polypeptide,Carbohydrate transport and metabolism,Q31LK9,Op1527,
Synpcc7942_2048,0.089138166281202,psaB,CP000100.1,,2121521,2123725,-,photosystem I core protein PsaB,Energy production and conversion,Q31LJ1,Op1541,Fur
Synpcc7942_2049,0.0766748806073775,psaA,CP000100.1,,2123745,2126036,-,photosystem I core protein PsaA,Energy production and conversion,Q31LJ0,Op1541,Fur
Synpcc7942_2160,0.0719706740789377,spt,CP000100.1,,2242713,2243867,+,alanine-glyoxylate aminotransferase,Amino acid transport and metabolism,Q31L79,Op1628,
Synpcc7942_2161,0.0900719172872148,Synpcc7942_2161,CP000100.1,,2243880,2244536,+,conserved hypothetical protein,No COG annotation,Q31L78,Op1628,
Synpcc7942_2297,-0.0681618798576425,tal,CP000100.1,,2367528,2368721,-,transaldolase,Nucleotide transport and metabolism,Q31KU2,Op1719,
Synpcc7942_2331,0.0716754740063622,petB,CP000100.1,,2398625,2399272,+,cytochrome b6,Energy production and conversion,Q54711,Op1744,
Synpcc7942_2332,0.0854766274734827,petD,CP000100.1,,2399369,2399851,+,cytochrome b6-f complex subunit 4,Energy production and conversion,Q54710,Op1745,
Synpcc7942_2413,0.0878946510969114,Synpcc7942_2413,CP000100.1,,2485279,2485527,-,hypothetical protein,No COG annotation,Q31KH6,Op1806,
Synpcc7942_2414,0.0729043189100756,Synpcc7942_2414,CP000100.1,,2485595,2486650,-,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31KH5,Op1807,
Synpcc7942_2425,0.077368816911083,ycf39,CP000100.1,,2497699,2498661,-,chaperon-like protein for quinone binding in photosystem II,Carbohydrate transport and metabolism,Q31KG4,Op1817,
