Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX15590309	SRR19538262	2022-06-06 15:00:38	2022-06-06 14:02:24	6870817	687081700	0	100	399		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538262/SRR19538262.lite.1	GSM6212729	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292331	SAMN28860387	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212729							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	DC63828B236CF18977C328F1E839E01A	E10E6FBE77F8A1BEA3D23CC22A6477E0		
SRX15590310	SRR19538261	2022-06-06 15:00:38	2022-06-06 14:00:40	7045051	704505100	0	100	409		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538261/SRR19538261.lite.1	GSM6212730	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292332	SAMN28860386	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212730							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	A3803B46AC4C900833D8838BE1F412F6	3645ACE77B084F6AE63E5CE13CF87EFA		
SRX15590311	SRR19538260	2022-06-06 15:00:38	2022-06-06 14:01:08	7761056	776105600	0	100	449		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538260/SRR19538260.lite.1	GSM6212731	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292333	SAMN28860385	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212731							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	62AEA95BCDFBFCCFA063EA35CDC418B7	80BF3AD53CE2FE6621C5220A6AE58C22		
SRX15590312	SRR19538259	2022-06-06 15:00:38	2022-06-06 14:01:20	8835840	883584000	0	100	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538259/SRR19538259.lite.1	GSM6212732	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292334	SAMN28860384	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212732							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	7DE7139CE66E2827C12847ADBF2569D6	987DE30A460818B0C43729B235DBB183		
SRX15590313	SRR19538258	2022-06-06 15:00:38	2022-06-06 14:02:57	7932133	793213300	0	100	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538258/SRR19538258.lite.1	GSM6212733	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292335	SAMN28860383	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212733							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	524890101E4FE7A806B19C29AB00AE96	B63C69BB843CC7C90F51FF0B3E269ADA		
SRX15590314	SRR19538257	2022-06-06 13:09:15	2022-06-06 13:03:33	7589074	758907400	0	100	442		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538257/SRR19538257.lite.1	GSM6212734	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292336	SAMN28860382	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212734							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	FE5D1B21058A6D87580A9862A84227D1	EBC92065D5F5157B57CFF953838042EC		
SRX15590315	SRR19538256	2022-06-06 13:09:15	2022-06-06 13:03:19	7944482	794448200	0	100	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538256/SRR19538256.lite.1	GSM6212735	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292337	SAMN28860381	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212735							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	C113D926C0C40968C6935B156267384C	FBD0E1895C9ADE2E49657644DEB7FA71		
SRX15590316	SRR19538255	2022-06-06 13:09:15	2022-06-06 13:02:18	6655283	665528300	0	100	386		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538255/SRR19538255.lite.1	GSM6212736	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292338	SAMN28860380	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212736							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	1160CAF3C815642129EDE7861981C22B	7C4AF140F969A9138DE0BBA5E4B74E1C		
SRX15590317	SRR19538254	2022-06-06 13:09:15	2022-06-06 13:02:52	7283463	728346300	0	100	424		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538254/SRR19538254.lite.1	GSM6212737	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292339	SAMN28860379	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212737							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	43A11E902667AF39E8D4100D304A9DFB	045F3CE5F498A503BFFDD75BC54CE2B8		
SRX15590318	SRR19538253	2022-06-06 13:09:15	2022-06-06 13:03:14	7090785	709078500	0	100	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538253/SRR19538253.lite.1	GSM6212738	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292340	SAMN28860378	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212738							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	F51678726766879D042AF2AA950BD5AE	43FB19B67FC1B3DDB3CC18A82A2BE31D		
SRX15590319	SRR19538252	2022-06-06 13:09:15	2022-06-06 13:03:12	7074859	707485900	0	100	412		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538252/SRR19538252.lite.1	GSM6212739	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292341	SAMN28860377	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212739							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	CD20451C3F59157BC44BFEE3673F04BF	F72F82EB35AFAC96EEC67BCE964AB3D9		
SRX15590299	SRR19538272	2022-06-06 13:09:15	2022-06-06 13:02:43	6570183	657018300	0	100	380		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538272/SRR19538272.lite.1	GSM6212719	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292321	SAMN28860397	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212719							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	0AB36567A42CFACB4533E805F04009D3	618C25754C604C2D74B8A470CC35B55A		
SRX15590300	SRR19538271	2022-06-06 13:09:15	2022-06-06 13:03:34	7240321	724032100	0	100	418		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538271/SRR19538271.lite.1	GSM6212720	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292322	SAMN28860396	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212720							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	577317D6E3E4035A30B2BB86483C8503	8328FAE3093ABF0F298D623597423B9E		
SRX15590301	SRR19538270	2022-06-06 13:09:15	2022-06-06 13:03:42	7709268	770926800	0	100	445		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538270/SRR19538270.lite.1	GSM6212721	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292323	SAMN28860395	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212721							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	D2F444E40182CCAAFED919D11463AEDB	6A234C9308434D8BA75671993BD041A6		
SRX15590302	SRR19538269	2022-06-06 13:09:15	2022-06-06 13:03:19	7202205	720220500	0	100	417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538269/SRR19538269.lite.1	GSM6212722	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292324	SAMN28860394	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212722							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	8777FA797A1EF99283A9010562800C5E	B8B74D74589BDBF425DA17FABCBF44C6		
SRX15590303	SRR19538268	2022-06-06 13:09:15	2022-06-06 13:03:26	7262567	726256700	0	100	419		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538268/SRR19538268.lite.1	GSM6212723	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292325	SAMN28860393	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212723							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	BE5F0E3D7DB395408AD795B09FBF875C	8814866294D468BC8CCEFD39C6D2B9BB		
SRX15590304	SRR19538267	2022-06-06 13:09:15	2022-06-06 13:02:53	7036951	703695100	0	100	410		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538267/SRR19538267.lite.1	GSM6212724	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292326	SAMN28860392	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212724							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	323DACB4FD72F1611D14A78D963E4BDE	7DABF15E9B2611E16422EDF65AF1C3AE		
SRX15590305	SRR19538266	2022-06-06 13:09:15	2022-06-06 13:03:20	6941341	694134100	0	100	405		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538266/SRR19538266.lite.1	GSM6212725	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292327	SAMN28860391	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212725							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	09626E2B128F13087B15E204ABEC9A88	39F4053FDE9034B4B19CD895086900B2		
SRX15590306	SRR19538265	2022-06-06 13:09:15	2022-06-06 13:03:17	6894458	689445800	0	100	398		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538265/SRR19538265.lite.1	GSM6212726	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292328	SAMN28860390	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212726							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	6F7087C5328E7A7AF508789C619CAA22	0387815F9DB743100F26801654416FFD		
SRX15590307	SRR19538264	2022-06-06 15:00:38	2022-06-06 14:00:38	6065989	606598900	0	100	351		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538264/SRR19538264.lite.1	GSM6212727	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292329	SAMN28860389	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212727							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	51AEC87447480D52938C53B37EE3F49C	B8D3549A2A27291C6EEB5FF7BDBF39E3		
SRX15590308	SRR19538263	2022-06-06 15:00:38	2022-06-06 14:00:52	7187072	718707200	0	100	416		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538263/SRR19538263.lite.1	GSM6212728	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292330	SAMN28860388	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212728							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	706DFDA8C24038ABAE393385DF3BBFC2	033D5286B5621EE701BDD00F60B01889		
SRX15590309	SRR19538262	2022-06-06 15:00:38	2022-06-06 14:02:24	6870817	687081700	0	100	399		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538262/SRR19538262.lite.1	GSM6212729	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292331	SAMN28860387	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212729							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	DC63828B236CF18977C328F1E839E01A	E10E6FBE77F8A1BEA3D23CC22A6477E0		
SRX15590310	SRR19538261	2022-06-06 15:00:38	2022-06-06 14:00:40	7045051	704505100	0	100	409		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538261/SRR19538261.lite.1	GSM6212730	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292332	SAMN28860386	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212730							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	A3803B46AC4C900833D8838BE1F412F6	3645ACE77B084F6AE63E5CE13CF87EFA		
SRX15590311	SRR19538260	2022-06-06 15:00:38	2022-06-06 14:01:08	7761056	776105600	0	100	449		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538260/SRR19538260.lite.1	GSM6212731	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292333	SAMN28860385	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212731							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	62AEA95BCDFBFCCFA063EA35CDC418B7	80BF3AD53CE2FE6621C5220A6AE58C22		
SRX15590312	SRR19538259	2022-06-06 15:00:38	2022-06-06 14:01:20	8835840	883584000	0	100	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538259/SRR19538259.lite.1	GSM6212732	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292334	SAMN28860384	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212732							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	7DE7139CE66E2827C12847ADBF2569D6	987DE30A460818B0C43729B235DBB183		
SRX15590313	SRR19538258	2022-06-06 15:00:38	2022-06-06 14:02:57	7932133	793213300	0	100	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538258/SRR19538258.lite.1	GSM6212733	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292335	SAMN28860383	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212733							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	524890101E4FE7A806B19C29AB00AE96	B63C69BB843CC7C90F51FF0B3E269ADA		
SRX15590314	SRR19538257	2022-06-06 13:09:15	2022-06-06 13:03:33	7589074	758907400	0	100	442		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538257/SRR19538257.lite.1	GSM6212734	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292336	SAMN28860382	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212734							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	FE5D1B21058A6D87580A9862A84227D1	EBC92065D5F5157B57CFF953838042EC		
SRX15590315	SRR19538256	2022-06-06 13:09:15	2022-06-06 13:03:19	7944482	794448200	0	100	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538256/SRR19538256.lite.1	GSM6212735	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292337	SAMN28860381	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212735							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	C113D926C0C40968C6935B156267384C	FBD0E1895C9ADE2E49657644DEB7FA71		
