Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Swift	publication	biosample_strain	biosample_genotype	project	condition	reference_condition	post_induction_time	strain_description	base_media	carbon_source	carbon_ml/min	nitrogen_source	inducer_agent	aerobicity	inoculation	supplement	temperature	entrainment	post_entrainment_condition	growth_phase	OD_wavelength	OD	fluorescent light	intensity	light_flux_umol/m2/s	skip	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
SRX15590300	SRR19538271	2022-06-06 13:09:15	2022-06-06 13:03:34	7240321.0	724032100.0	0.0	100.0	418.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538271/SRR19538271.lite.1	GSM6212720	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292322	SAMN28860396	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212720							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	577317D6E3E4035A30B2BB86483C8503	8328FAE3093ABF0F298D623597423B9E				35814646	PCC 7942	WT	biofilm_1	WT_BG_d1	WT_BG_d1		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:WT_BG_d1	True
SRX15590301	SRR19538270	2022-06-06 13:09:15	2022-06-06 13:03:42	7709268.0	770926800.0	0.0	100.0	445.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538270/SRR19538270.lite.1	GSM6212721	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292323	SAMN28860395	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212721							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	D2F444E40182CCAAFED919D11463AEDB	6A234C9308434D8BA75671993BD041A6				35814646	PCC 7942	WT	biofilm_1	WT_BG_d1	WT_BG_d1		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:WT_BG_d1	True
SRX15590305	SRR19538266	2022-06-06 13:09:15	2022-06-06 13:03:20	6941341.0	694134100.0	0.0	100.0	405.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538266/SRR19538266.lite.1	GSM6212725	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292327	SAMN28860391	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212725							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	09626E2B128F13087B15E204ABEC9A88	39F4053FDE9034B4B19CD895086900B2				35814646	PCC 7942	Btn5	biofilm_1	btn5_BG_d1	WT_BG_d1		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:btn5_BG_d1	True
SRX15590306	SRR19538265	2022-06-06 13:09:15	2022-06-06 13:03:17	6894458.0	689445800.0	0.0	100.0	398.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538265/SRR19538265.lite.1	GSM6212726	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292328	SAMN28860390	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212726							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	6F7087C5328E7A7AF508789C619CAA22	0387815F9DB743100F26801654416FFD				35814646	PCC 7942	Btn5	biofilm_1	btn5_BG_d1	WT_BG_d1		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:btn5_BG_d1	True
SRX15590307	SRR19538264	2022-06-06 15:00:38	2022-06-06 14:00:38	6065989.0	606598900.0	0.0	100.0	351.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538264/SRR19538264.lite.1	GSM6212727	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292329	SAMN28860389	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212727							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	51AEC87447480D52938C53B37EE3F49C	B8D3549A2A27291C6EEB5FF7BDBF39E3				35814646	PCC 7942	Btn5	biofilm_1	btn5_BG_d1	WT_BG_d1		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:btn5_BG_d1	True
SRX15590308	SRR19538263	2022-06-06 15:00:38	2022-06-06 14:00:52	7187072.0	718707200.0	0.0	100.0	416.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538263/SRR19538263.lite.1	GSM6212728	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292330	SAMN28860388	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212728							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	706DFDA8C24038ABAE393385DF3BBFC2	033D5286B5621EE701BDD00F60B01889				35814646	PCC 7942	Btn5	biofilm_1	btn5_CM_d1	WT_BG_d1		pilB::Tn5 Mutant	conditioned media	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:btn5_CM_d1	True
SRX15590309	SRR19538262	2022-06-06 15:00:38	2022-06-06 14:02:24	6870817.0	687081700.0	0.0	100.0	399.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538262/SRR19538262.lite.1	GSM6212729	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292331	SAMN28860387	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212729							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	DC63828B236CF18977C328F1E839E01A	E10E6FBE77F8A1BEA3D23CC22A6477E0				35814646	PCC 7942	Btn5	biofilm_1	btn5_CM_d1	WT_BG_d1		pilB::Tn5 Mutant	conditioned media	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:btn5_CM_d1	True
SRX15590311	SRR19538260	2022-06-06 15:00:38	2022-06-06 14:01:08	7761056.0	776105600.0	0.0	100.0	449.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538260/SRR19538260.lite.1	GSM6212731	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292333	SAMN28860385	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212731							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	62AEA95BCDFBFCCFA063EA35CDC418B7	80BF3AD53CE2FE6621C5220A6AE58C22				35814646	PCC 7942	WT	biofilm_4	WT_BG_d4	WT_BG_d4		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:WT_BG_d4	True
SRX15590312	SRR19538259	2022-06-06 15:00:38	2022-06-06 14:01:20	8835840.0	883584000.0	0.0	100.0	512.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538259/SRR19538259.lite.1	GSM6212732	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292334	SAMN28860384	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212732							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	7DE7139CE66E2827C12847ADBF2569D6	987DE30A460818B0C43729B235DBB183				35814646	PCC 7942	WT	biofilm_4	WT_BG_d4	WT_BG_d4		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:WT_BG_d4	True
SRX15590313	SRR19538258	2022-06-06 15:00:38	2022-06-06 14:02:57	7932133.0	793213300.0	0.0	100.0	459.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538258/SRR19538258.lite.1	GSM6212733	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292335	SAMN28860383	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212733							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	524890101E4FE7A806B19C29AB00AE96	B63C69BB843CC7C90F51FF0B3E269ADA				35814646	PCC 7942	WT	biofilm_4	WT_BG_d4	WT_BG_d4		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:WT_BG_d4	True
SRX15590314	SRR19538257	2022-06-06 13:09:15	2022-06-06 13:03:33	7589074.0	758907400.0	0.0	100.0	442.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538257/SRR19538257.lite.1	GSM6212734	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292336	SAMN28860382	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212734							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	FE5D1B21058A6D87580A9862A84227D1	EBC92065D5F5157B57CFF953838042EC				35814646	PCC 7942	Btn5	biofilm_4	btn3_planktonic_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn3_planktonic_BG_d4	True
SRX15590315	SRR19538256	2022-06-06 13:09:15	2022-06-06 13:03:19	7944482.0	794448200.0	0.0	100.0	459.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538256/SRR19538256.lite.1	GSM6212735	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292337	SAMN28860381	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212735							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	C113D926C0C40968C6935B156267384C	FBD0E1895C9ADE2E49657644DEB7FA71				35814646	PCC 7942	Btn5	biofilm_4	btn3_planktonic_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn3_planktonic_BG_d4	True
SRX15590316	SRR19538255	2022-06-06 13:09:15	2022-06-06 13:02:18	6655283.0	665528300.0	0.0	100.0	386.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538255/SRR19538255.lite.1	GSM6212736	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292338	SAMN28860380	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212736							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	1160CAF3C815642129EDE7861981C22B	7C4AF140F969A9138DE0BBA5E4B74E1C				35814646	PCC 7942	Btn5	biofilm_4	btn3_planktonic_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn3_planktonic_BG_d4	True
SRX15590317	SRR19538254	2022-06-06 13:09:15	2022-06-06 13:02:52	7283463.0	728346300.0	0.0	100.0	424.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538254/SRR19538254.lite.1	GSM6212737	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292339	SAMN28860379	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212737							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	43A11E902667AF39E8D4100D304A9DFB	045F3CE5F498A503BFFDD75BC54CE2B8				35814646	PCC 7942	Btn5	biofilm_4	btn5_biofilm_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn5_biofilm_BG_d4	True
SRX15590318	SRR19538253	2022-06-06 13:09:15	2022-06-06 13:03:14	7090785.0	709078500.0	0.0	100.0	415.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538253/SRR19538253.lite.1	GSM6212738	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292340	SAMN28860378	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212738							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	F51678726766879D042AF2AA950BD5AE	43FB19B67FC1B3DDB3CC18A82A2BE31D				35814646	PCC 7942	Btn5	biofilm_4	btn5_biofilm_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn5_biofilm_BG_d4	True
SRX15590319	SRR19538252	2022-06-06 13:09:15	2022-06-06 13:03:12	7074859.0	707485900.0	0.0	100.0	412.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538252/SRR19538252.lite.1	GSM6212739	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292341	SAMN28860377	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212739							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	CD20451C3F59157BC44BFEE3673F04BF	F72F82EB35AFAC96EEC67BCE964AB3D9				35814646	PCC 7942	Btn5	biofilm_4	btn5_biofilm_BG_d4	WT_BG_d4		pilB::Tn5 Mutant	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_4:btn5_biofilm_BG_d4	True
